  43 | 7409.05465  1.48E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
  44 | 7409.45479  5.76E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  45 | 7409.59620  5.62E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  46 | 7410.04670  6.29E-25   679.83684 | 7410.04496    4   2 | 7409.02756  7.94E-25   679.83520 | 515   7   3  210000   0  8088.8628   279 | 254   8   3  000000   1   679.8352   680 | 7.5  +1.02078    1.342  1.1E-5  8.8E-4  8.8E-4
  47 | 7410.34013  1.68E-24             |                     |                                  |                                          |                                          |                                 5.6E-4
  48 | 7410.57252  2.50E-24             |                     |                                  |                                          |                                          |                                 3.7E-4
  49 | 7410.71880  1.63E-24             |                     |                                  |                                          |                                          |                                 5.7E-4
  50 | 7410.78468  1.82E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
  51 | 7410.93632  8.29E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
  52 | 7411.30382  8.95E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
  53 | 7411.33178  6.77E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
  54 | 7412.20181  1.51E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
  55 | 7412.35802  2.50E-24             |                     |                                  |                                          |                                          |                                 3.7E-4
  56 | 7412.65250  1.23E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
  57 | 7412.73990  1.13E-24             |                     |                                  |                                          |                                          |                                 8.2E-4
  58 | 7413.02436  6.02E-24             |                     |                                  |                                          |                                          |                                 1.6E-4
  59 | 7413.23279  2.28E-24             |                     |                                  |                                          |                                          |                                 4.1E-4
  60 | 7413.50399  8.52E-24             |                     |                                  |                                          |                                          |                                 1.1E-4
  61 | 7414.25354  3.64E-24             |                     |                                  |                                          |                                          |                                 1.8E-4
  62 | 7414.54887  8.79E-25             |                     |                                  |                                          |                                          |                                 7.4E-4
  63 | 7414.65403  9.15E-25             |                     |                                  |                                          |                                          |                                 7.1E-4
  64 | 7414.70212  1.58E-24             |                     |                                  |                                          |                                          |                                 4.1E-4
  65 | 7414.86284  7.62E-25             |                     |                                  |                                          |                                          |                                 8.5E-4
  66 | 7414.99607  1.37E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
  67 | 7415.10196  1.32E-24             |                     |                                  |                                          |                                          |                                 5.6E-4
  68 | 7415.13166  3.84E-24   856.17884 | 7415.13228   17   2 | 7415.15046  2.66E-24   856.17640 | 233   8   2  011210   0  8271.3269   323 | 515   9   3  000000   0   856.1764   856 | 8.2  -0.01636    1.444  9.7E-5  1.9E-4  2.1E-4
  69 | 7415.26131  1.75E-24   679.83684 | 7415.26476   20   3 | 7414.76408  1.70E-24   679.83520 | 563   7   4  011210   1  8094.5993   280 | 254   8   3  000000   1   679.8352   680 | 7.5  +0.49887    1.030  1.1E-5  6.3E-4  6.3E-4
  70 | 7415.28105  2.17E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
  71 | 7415.34249  7.83E-25             |                     |                                  |                                          |                                          |                                 8.3E-4
  72 | 7415.46271  1.96E-24             |                     |                                  |                                          |                                          |                                 3.3E-4
  73 | 7415.55322  8.89E-25   888.50079 | 7415.55122   12   3 | 7415.38031  5.27E-25   888.49840 | 563   8   4  111010   1  8303.8787   352 | 212   9   0  000000   0   888.4984   889 | 8.5  +0.17530    1.687  9.7E-5  7.3E-4  7.4E-4
  74 | 7415.96170  5.71E-24             |                     |                                  |                                          |                                          |                                 1.2E-4
  75 | 7416.00349  6.08E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
  76 | 7416.34901  7.57E-25             |                     |                                  |                                          |                                          |                                 8.5E-4
  77 | 7416.40302  1.30E-24   708.23856 | 7416.40299   18   2 | 7415.96120  8.71E-25   708.23780 | 323   7   4  011212   0  8124.1990   590 | 616   8   1  000000   0   708.2378   708 | 7.3  +0.44258    1.492  7.2E-6  5.0E-4  5.0E-4
  78 | 7416.46141  1.06E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
  79 | 7416.64524  3.24E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
  80 | 7417.14403  2.65E-24   539.84498 | 7417.14441    6   2 | 7416.85918  2.02E-24   539.84500 | 634   6   3  011210   0  7956.7042   499 | 313   7   2  000000   0   539.8450   540 | 6.6  +0.28483    1.312  6.4E-6  2.4E-4  2.4E-4
  81 | 7417.32244  2.16E-24             |                     |                                  |                                          |                                          |                                 3.0E-4
  82 | 7417.40280  6.42E-25             |                     |                                  |                                          |                                          |                                 1.0E-3
