1240 | 7571.92523  1.19E-22   264.51666 | 7571.92524   16   2 | 7571.87547  9.24E-23   264.51660 | 233   4   2  111010   0  7836.3920   168 | 515   5   3  000000   0   264.5166   265 | 4.2  +0.04982    1.283  6.9E-6  1.4E-5  1.6E-5
1241 | 7571.98517  2.83E-24             |                     |                                  |                                          |                                          |                                 5.3E-4
1242 | 7572.01727  1.52E-23    16.17299 | 7572.01683   20   2 | 7571.96609  1.25E-23    16.17290 | 332   1   0  011210   0  7588.1390   111 | 616   1   1  000000   0    16.1729    16 | 1.3  +0.05127    1.216  1.0E-6  1.3E-4  1.3E-4
1243 | 7572.04337  2.29E-24             |                     |                                  |                                          |                                          |                                 7.6E-4
1244 | 7572.20541  2.22E-23   166.08790 | 7572.20532   21   2 | 7570.80312  2.70E-23   166.08740 | 515   4   3  210000   0  7736.8905   182 | 254   4   3  000000   1   166.0874   166 | 4.5  +1.40279    0.823  5.2E-6  6.4E-5  6.5E-5
1245 | 7572.24597  2.31E-23   265.22666 | 7572.24592    7   2 | 7571.11245  2.84E-23   265.22630 | 515   5   3  210000   0  7836.3388   199 | 254   5   3  000000   1   265.2263   265 | 5.5  +1.13388    0.814  6.9E-6  6.8E-5  6.8E-5
1246 | 7572.27729  1.71E-24             |                     |                                  |                                          |                                          |                                 8.7E-4
1247 | 7572.49818  2.36E-23   383.97753 | 7572.49809    7   2 | 7571.74479  2.53E-23   383.97720 | 563   6   4  011210   1  7955.7219   262 | 254   6   3  000000   1   383.9772   384 | 6.5  +0.75372    0.933  9.8E-6  6.0E-5  6.1E-5
1248 | 7572.57841  1.18E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
1249 | 7572.61231  3.44E-24             |                     |                                  |                                          |                                          |                                 4.2E-4
1250 | 7572.67921  2.24E-23   294.63006 | 7572.67957    3   2 | 7572.64271  1.63E-23   294.63050 | 661   4   0  111010   1  7867.2732   366 | 356   5   1  000000   1   294.6305   295 | 4.6  +0.03606    1.377  3.4E-6  6.3E-5  6.3E-5
1251 | 7572.87866  1.85E-23   522.22298 | 7572.87862   20   3 | 7572.37707  1.74E-23   522.22220 | 563   7   4  011210   1  8094.5993   280 | 254   7   3  000000   1   522.2222   522 | 7.5  +0.50237    1.065  1.0E-5  3.8E-4  3.8E-4
1252 | 7572.88908  2.36E-23    55.93873 | 7572.88954    6   2 | 7572.81895  1.89E-23    55.93890 | 331   2   0  011210   0  7628.7578   193 | 616   2   1  000000   0    55.9389    56 | 2.3  +0.06996    1.247  1.3E-6  3.0E-4  3.0E-4
1253 | 7573.04723  2.05E-24   532.89439 | 7573.04930   42   2 | 7572.68429  1.42E-24   532.89160 | 333   8   8  011212   0  8105.5759   626 | 616   8   7  000000   0   532.8916   533 | 8.3  +0.36573    1.444  8.7E-6  6.7E-4  6.7E-4
1254 | 7573.15385  1.77E-24             |                     |                                  |                                          |                                          |                                 7.7E-4
1255 | 7573.24597  3.64E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
1256 | 7573.76800  5.35E-24  1053.11173 | 7573.76801   27   1 | 7572.90149  5.49E-24  1053.11000 | 536   4   1  121010   0  8626.0115   279 | 212   3   0  010000   0  1053.1100  1053 | 4.5  +0.86824    0.975  8.7E-6  2.6E-4  2.6E-4
1257 | 7573.92166  1.30E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
1258 | 7574.10141  2.82E-23   115.53663 | 7574.10143    5   2 | 7574.00709  2.26E-23   115.53700 | 332   3   0  011210   0  7689.5441   265 | 616   3   1  000000   0   115.5370   116 | 3.3  +0.09395    1.247  2.3E-6  7.2E-5  7.2E-5
1259 | 7574.18257  1.96E-24             |                     |                                  |                                          |                                          |                                 9.7E-4
1260 | 7574.28460  3.45E-23   554.39314 | 7574.28457    8   1 | 7574.19703  2.67E-23   554.39340 | 536   7   1  011210   0  8128.5904   286 | 212   7   0  000000   0   554.3934   554 | 7.5  +0.08731    1.292  7.5E-6  7.2E-5  7.2E-5
1261 | 7574.31089  1.97E-23   358.28458 | 7574.31177    6   5 | 7574.26689  1.49E-23   358.28360 | 333   5   2  111010   0  7932.5505   442 | 653   6   4  000000   1   358.2836   358 | 5.3  +0.04498    1.323  8.9E-6  1.2E-4  1.2E-4
1262 | 7574.41389  1.14E-23             |                     |                                  |                                          |                                          |                                 1.7E-4
1263 | 7574.55191  1.57E-23   284.41030 | 7574.55196   13   2 | 7573.48204  1.73E-23   284.40750 | 212   6   6  210000   0  7857.8896   231 | 551   6   6  000000   1   284.4075   284 | 6.2  +1.07267    0.908  9.6E-6  1.2E-4  1.2E-4
1264 | 7574.73158  3.77E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
1265 | 7574.84161  2.54E-24             |                     |                                  |                                          |                                          |                                 7.4E-4
1266 | 7575.24781  6.90E-24   888.50079 | 7575.24777   31   2 | 7575.22145  7.09E-24   888.49840 | 536   9   1  011210   0  8463.7198   375 | 212   9   0  000000   0   888.4984   889 | 9.5  +0.02875    0.973  9.7E-5  2.7E-4  2.9E-4
1267 | 7575.32994  2.26E-22   283.57452 | 7575.32994    2   1 | 7575.27900  1.74E-22   283.57190 | 536   5   5  111010   0  7858.8509   201 | 212   6   6  000000   0   283.5719   284 | 5.5  +0.05356    1.301  9.6E-6  1.2E-5  1.5E-5
1268 | 7575.47036  1.22E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
1269 | 7575.55065  2.66E-23   194.90636 | 7575.55096   13   2 | 7575.43332  2.31E-23   194.90700 | 331   4   0  011210   0  7770.3403   350 | 616   4   1  000000   0   194.9070   195 | 4.3  +0.11669    1.152  2.8E-6  3.4E-4  3.4E-4
1270 | 7575.56133  6.29E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
1271 | 7575.70849  3.81E-24             |                     |                                  |                                          |                                          |                                 8.0E-4
1272 | 7575.72893  5.49E-24             |                     |                                  |                                          |                                          |                                 5.6E-4
1273 | 7575.81854  5.41E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
1274 | 7575.85123  6.22E-24             |                     |                                  |                                          |                                          |                                 4.5E-4
1275 | 7575.87468  9.10E-24   375.10709 | 7575.87569   23   3 | 7575.87274  5.92E-24   375.10360 | 636   6   5  011212   0  7950.9764   495 | 356   7   7  000000   1   375.1036   375 | 6.6  +0.00543    1.536  2.1E-4  2.9E-4  3.6E-4
1276 | 7576.01076  2.08E-23   358.28458 | 7576.01025    4   4 | 7575.95389  1.33E-23   358.28360 | 333   5   2  111010   0  7934.2375   443 | 653   6   4  000000   1   358.2836   358 | 5.3  +0.05785    1.565  8.9E-6  9.3E-5  9.3E-5
1277 | 7576.50526  8.34E-24   423.22302 | 7576.50505   16   3 | 7576.37503  6.13E-24   423.22060 | 254   6   3  011212   1  7999.5956   245 | 551   7   6  000000   1   423.2206   423 | 6.2  +0.13265    1.361  1.1E-5  2.3E-4  2.3E-4
1278 | 7576.63084  6.77E-24             |                     |                                  |                                          |                                          |                                 1.8E-3
1279 | 7576.73749  3.21E-24             |                     |                                  |                                          |                                          |                                 5.9E-4
1280 | 7576.80194  1.01E-23   264.51666 | 7576.80099    5   2 | 7576.81236  6.27E-24   264.51660 | 266   4   1  011212   1  7841.3289   169 | 515   5   3  000000   0   264.5166   265 | 4.2  -0.01036    1.613  6.9E-6  1.9E-4  1.9E-4
1281 | 7576.93817  5.59E-24             |                     |                                  |                                          |                                          |                                 3.4E-4
1282 | 7577.02259  1.37E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
1283 | 7577.09311  2.19E-23   105.18375 | 7577.09326    4   2 | 7576.96712  1.79E-23   105.18360 | 365   3   3  011210   1  7682.1507   264 | 653   3   2  000000   1   105.1836   105 | 3.3  +0.12614    1.223  6.4E-6  1.4E-4  1.4E-4
1284 | 7577.11462  2.71E-23   293.96832 | 7577.11505    8   2 | 7576.98078  2.09E-23   293.96910 | 332   5   0  011210   0  7870.9499   427 | 616   5   1  000000   0   293.9691   294 | 5.3  +0.13306    1.297  3.3E-6  1.1E-4  1.1E-4
1285 | 7577.28755  2.85E-24             |                     |                                  |                                          |                                          |                                 8.4E-4
1286 | 7577.31446  1.90E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
1287 | 7577.44254  1.63E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
1288 | 7577.50421  3.83E-24   166.08790 | 7577.50277   33   2 | 7577.41387  3.16E-24   166.08740 | 563   5   4  110202   1  7743.5013   192 | 254   4   3  000000   1   166.0874   166 | 5.5  +0.09084    1.211  5.2E-6  4.9E-4  4.9E-4
1289 | 7577.69917  7.11E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
1290 | 7577.74745  2.50E-23   184.55306 | 7577.74758    4   2 | 7577.57666  2.10E-23   184.55310 | 364   4   3  011210   1  7762.1298   349 | 653   4   2  000000   1   184.5531   185 | 4.3  +0.17075    1.189  3.7E-6  7.9E-5  7.9E-5
1291 | 7577.80754  1.07E-23    60.41302 | 7577.80824   31   2 | 7577.72289  8.51E-24    60.41320 | 266   3   1  110202   1  7638.1361   143 | 551   2   0  000000   1    60.4132    60 | 3.2  +0.08447    1.256  1.2E-6  1.8E-4  1.8E-4
1292 | 7577.87708  7.56E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
1293 | 7578.01896  5.16E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
1294 | 7578.21236  1.66E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
1295 | 7578.34500  1.76E-24             |                     |                                  |                                          |                                          |                                 9.5E-4
1296 | 7578.46805  4.27E-23   194.90636 | 7578.46738    2   2 | 7578.37585  3.05E-23   194.90700 | 332   3   0  111010   0  7773.2828   280 | 616   4   1  000000   0   194.9070   195 | 3.3  +0.09156    1.398  2.8E-6  4.2E-5  4.2E-5
1297 | 7578.67228  2.03E-23   412.62438 | 7578.67224    9   2 | 7578.52668  1.69E-23   412.62500 | 331   6   0  011210   0  7991.1517   510 | 616   6   1  000000   0   412.6250   413 | 6.3  +0.14498    1.203  4.3E-6  8.4E-5  8.5E-5
1298 | 7578.75852  2.82E-23             |                     |                                  |                                          |                                          |                                 1.1E-3
1299 | 7578.76388  3.95E-23   375.10709 | 7578.76424   54   2 | 7578.73293  4.64E-23   375.10360 | 661   6   6  111010   1  7953.8366   497 | 356   7   7  000000   1   375.1036   375 | 6.6  +0.03444    0.850  2.1E-4  7.9E-4  8.2E-4
1300 | 7578.92739  1.40E-24             |                     |                                  |                                          |                                          |                                 1.3E-3
1301 | 7579.04548  1.80E-23   283.61672 | 7579.04569    7   2 | 7578.84222  1.56E-23   283.61690 | 365   5   3  011210   1  7862.4591   425 | 653   5   2  000000   1   283.6169   284 | 5.3  +0.20308    1.154  3.6E-6  9.6E-5  9.6E-5
1302 | 7579.08942  8.39E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
1303 | 7579.15017  2.95E-24   791.48855 | 7579.15209   74   2 | 7579.19187  2.32E-24   791.48480 | 563  10  10  111010   1  8370.6767   387 | 254  10   9  000000   1   791.4848   791 | 10.5  -0.03795    1.272  1.9E-4  5.6E-4  5.9E-4
1304 | 7579.21892  2.30E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
1305 | 7579.28917  2.73E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
1306 | 7579.39291  1.45E-23    44.79598 | 7579.39298   39   2 | 7579.31162  1.10E-23    44.79570 | 636   2   1  011210   0  7624.1073   188 | 313   2   2  000000   0    44.7957    45 | 2.6  +0.08157    1.317  8.1E-6  1.2E-4  1.2E-4
1307 | 7579.65123  1.39E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
1308 | 7579.77352  1.91E-24             |                     |                                  |                                          |                                          |                                 8.7E-4
1309 | 7580.16773  1.66E-23   550.75867 | 7580.16771    9   2 | 7579.99412  1.22E-23   550.75890 | 332   7   0  011210   0  8130.7530   591 | 616   7   1  000000   0   550.7589   551 | 7.3  +0.17338    1.364  5.7E-6  8.9E-5  8.9E-5
1310 | 7580.16774  1.40E-23   195.61132 | 7580.16652    3   2 | 7580.06676  1.03E-23   195.61170 | 663   3   2  111010   1  7775.6785   283 | 356   4   1  000000   1   195.6117   196 | 3.6  +0.10060    1.364  2.9E-6  8.9E-5  8.9E-5
1311 | 7580.18936  3.79E-23   283.61672 | 7580.18996    3   2 | 7580.16691  2.65E-23   283.61690 | 366   4   1  111010   1  7863.7838   368 | 653   5   2  000000   1   283.6169   284 | 4.3  +0.02227    1.432  3.6E-6  7.3E-5  7.3E-5
1312 | 7580.37245  9.86E-23   238.65267 | 7580.37241    6   2 | 7580.30976  7.25E-23   238.65180 | 635   4   3  111010   0  7818.9615   356 | 313   5   4  000000   0   238.6518   239 | 4.6  +0.06356    1.360  9.7E-6  2.0E-5  2.2E-5
1313 | 7580.55080  2.13E-23   104.42209 | 7580.55065    6   2 | 7580.43309  1.59E-23   104.42210 | 636   3   1  011210   0  7684.8552   267 | 313   3   2  000000   0   104.4221   104 | 3.6  +0.11770    1.341  5.1E-6  8.1E-5  8.1E-5
1314 | 7580.59873  1.51E-23             |                     |                                  |                                          |                                          |                                 1.1E-4
1315 | 7580.92448  1.99E-24   265.22666 | 7580.92472    6   3 | 7580.82464  1.71E-24   265.22630 | 536   4   1  111010   0  7846.0510   193 | 254   5   3  000000   1   265.2263   265 | 4.5  +0.10020    1.161  6.9E-6  8.4E-4  8.4E-4
1316 | 7581.07251  2.35E-23   119.23786 | 7581.07262    9   2 | 7579.18520  2.28E-23   119.23840 | 551   4   0  110200   1  7698.4236   179 | 212   3   0  000000   0   119.2384   119 | 4.5  +1.88677    1.031  3.5E-6  8.7E-5  8.7E-5
1317 | 7581.10055  1.00E-23   402.27782 | 7581.09996   15   2 | 7580.83861  8.73E-24   402.27780 | 364   6   3  011210   1  7983.1165   508 | 653   6   2  000000   1   402.2778   402 | 6.3  +0.26196    1.150  4.6E-6  2.0E-4  2.0E-4
1318 | 7581.22653  8.56E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
1319 | 7581.27155  1.99E-24             |                     |                                  |                                          |                                          |                                 8.5E-4
1320 | 7581.33526  1.95E-24             |                     |                                  |                                          |                                          |                                 8.6E-4
1321 | 7581.39866  3.14E-24             |                     |                                  |                                          |                                          |                                 5.3E-4
1322 | 7581.59518  1.58E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
1323 | 7581.69572  3.49E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
1324 | 7581.72920  1.05E-23             |                     |                                  |                                          |                                          |                                 1.7E-4
1325 | 7581.78405  2.74E-23   183.82911 | 7581.78283    6   3 | 7581.53372  1.54E-23   183.82940 | 636   4   1  011210   0  7765.3631   343 | 313   4   2  000000   0   183.8294   184 | 4.6  +0.25004    1.777  3.7E-6  1.4E-4  1.4E-4
1326 | 7581.80092  7.83E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
1327 | 7581.85373  1.95E-24   119.23786 | 7581.85385    4   2 | 7581.80100  1.96E-24   119.23840 | 563   3   2  011210   1  7701.0394   127 | 212   3   0  000000   0   119.2384   119 | 3.5  +0.05219    0.997  3.5E-6  8.5E-4  8.5E-4
1328 | 7581.99973  7.63E-25   554.39314 | 7581.99740    6   3 | 7581.97241  7.79E-25   554.39340 | 563   7   2  011210   1  8136.3658   287 | 212   7   0  000000   0   554.3934   554 | 7.5  +0.02706    1.298  7.5E-6  1.1E-3  1.1E-3
1329 | 7582.06082  9.13E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
1330 | 7582.12325  7.84E-24             |                     |                                  |                                          |                                          |                                 1.5E-4
1331 | 7582.21105  3.45E-24             |                     |                                  |                                          |                                          |                                 3.3E-4
1332 | 7582.26448  2.39E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
1333 | 7582.35285  4.10E-24             |                     |                                  |                                          |                                          |                                 2.8E-4
1334 | 7582.45340  5.95E-24             |                     |                                  |                                          |                                          |                                 2.2E-4
1335 | 7582.48267  1.43E-23   282.93720 | 7582.48282    6   2 | 7581.73282  7.33E-24   282.93760 | 616   5   1  210000   0  7864.6705   429 | 313   5   2  000000   0   282.9376   283 | 5.6  +0.74945    1.948  3.5E-6  9.5E-5  9.5E-5
1336 | 7582.54632  7.16E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
1337 | 7582.62187  1.89E-24   297.64182 | 7582.62100    3   3 | 7582.55629  1.85E-24   297.64270 | 563   5   2  011210   1  7880.1990   203 | 212   5   0  000000   0   297.6427   298 | 5.5  +0.06470    1.021  6.3E-6  6.0E-4  6.0E-4
1338 | 7582.68675  3.68E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
1339 | 7582.83210  1.67E-24             |                     |                                  |                                          |                                          |                                 6.8E-4
1340 | 7583.11161  9.93E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
1341 | 7583.38233  8.09E-24   413.23786 | 7583.38190    7   2 | 7583.25264  7.27E-24   413.23810 | 663   6   2  011210   1  7996.4907   509 | 356   6   1  000000   1   413.2381   413 | 6.6  +0.12945    1.112  4.4E-6  1.5E-4  1.5E-4
1342 | 7583.41446  7.51E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
1343 | 7583.51769  4.24E-24   540.42176 | 7583.51816   20   2 | 7583.25073  4.17E-24   540.42130 | 365   7   3  011210   1  8123.6720   589 | 653   7   2  000000   1   540.4213   540 | 7.3  +0.26742    1.016  6.4E-6  2.7E-4  2.7E-4
1344 | 7583.69042  9.04E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
1345 | 7583.93719  2.86E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
1346 | 7584.00725  4.34E-23   325.12728 | 7584.00765   35   3 | 7584.04336  3.16E-23   325.12550 | 663   5   4  111010   1  7909.1689   440 | 356   6   5  000000   1   325.1255   325 | 5.6  -0.03433    1.374  2.8E-4  2.8E-5  2.8E-4
1347 | 7584.13857  1.10E-23   580.77985 | 7584.13876   10   2 | 7583.72619  6.82E-24   580.77780 | 536   8   7  011212   0  8164.5040   330 | 212   8   6  000000   0   580.7778   581 | 8.5  +0.41443    1.620  8.7E-5  1.1E-4  1.4E-4
1348 | 7584.24251  7.53E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
1349 | 7584.37098  3.33E-24             |                     |                                  |                                          |                                          |                                 3.1E-4
1350 | 7584.59009  1.38E-23   294.63006 | 7584.59022    5   2 | 7584.47394  1.18E-23   294.63050 | 663   5   2  011210   1  7879.1045   432 | 356   5   1  000000   1   294.6305   295 | 5.6  +0.11571    1.168  3.4E-6  8.5E-5  8.5E-5
1351 | 7584.72016  1.06E-23   297.64182 | 7584.71993   10   2 | 7584.34470  8.52E-24   297.64270 | 524   5   3  011212   0  7881.9874   204 | 212   5   0  000000   0   297.6427   298 | 5.5  +0.37458    1.243  6.3E-6  1.0E-4  1.0E-4
1352 | 7584.72017  9.20E-24   115.53663 | 7584.72019    2   2 | 7584.62393  7.40E-24   115.53700 | 333   2   2  111010   0  7700.1610   203 | 616   3   1  000000   0   115.5370   116 | 2.3  +0.09587    1.243  2.3E-6  1.0E-4  1.0E-4
1353 | 7584.74001  1.19E-24             |                     |                                  |                                          |                                          |                                 1.7E-3
1354 | 7585.02708  8.94E-24             |                     |                                  |                                          |                                          |                                 1.3E-4
1355 | 7585.08728  2.70E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
1356 | 7585.15867  9.90E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
1357 | 7585.17805  2.19E-23    56.70923 | 7585.17870    6   2 | 7585.14316  1.72E-23    56.70930 | 663   2   2  011210   1  7641.8525   191 | 356   2   1  000000   1    56.7093    57 | 2.6  +0.03482    1.275  1.3E-6  9.7E-5  9.8E-5
1358 | 7585.24103  9.11E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
1359 | 7585.27750  3.47E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
1360 | 7585.31121  3.18E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
1361 | 7585.38696  2.12E-23   195.61132 | 7585.38651    5   2 | 7585.29077  1.72E-23   195.61170 | 663   4   2  011210   1  7780.9025   346 | 356   4   1  000000   1   195.6117   196 | 4.6  +0.09581    1.230  2.9E-6  1.2E-4  1.2E-4
1362 | 7585.40408  3.17E-24             |                     |                                  |                                          |                                          |                                 7.9E-4
1363 | 7585.50551  9.33E-24             |                     |                                  |                                          |                                          |                                 1.2E-4
1364 | 7585.58706  4.61E-24   955.10653 | 7585.58679   29   2 | 7585.57344  3.02E-24   955.10290 | 536  10   7  111010   0  8540.6763   414 | 212  10   6  000000   0   955.1029   955 | 10.5  +0.01725    1.526  2.3E-4  2.6E-4  3.5E-4
1365 | 7585.62732  2.61E-23   116.27829 | 7585.62712    4   2 | 7585.55940  2.14E-23   116.27860 | 663   3   2  011210   1  7701.8380   270 | 356   3   1  000000   1   116.2786   116 | 3.6  +0.06761    1.218  2.3E-6  4.8E-5  4.8E-5
1366 | 7585.66261  2.09E-24   116.27829 | 7585.65954   27   2 | 7585.59313  2.52E-24   116.27860 | 663   4   2  110202   1  7701.8717   334 | 356   3   1  000000   1   116.2786   116 | 4.6  +0.06917    0.828  2.3E-6  5.7E-4  5.7E-4
1367 | 7585.74990  2.67E-24             |                     |                                  |                                          |                                          |                                 4.3E-4
1368 | 7585.85947  8.84E-23   199.29394 | 7585.85962   10   2 | 7585.79069  6.50E-23   199.29450 | 266   3   1  111010   1  7785.0852   154 | 551   4   0  000000   1   199.2945   199 | 3.2  +0.06822    1.359  4.8E-6  1.5E-5  1.6E-5
1369 | 7585.93145  2.48E-23    85.86158 | 7585.93102   19   2 | 7585.81809  1.51E-23    85.86090 | 233   3   2  011210   0  7671.6790   144 | 515   3   3  000000   0    85.8609    86 | 3.2  +0.11404    1.640  8.7E-6  4.8E-5  4.9E-5
1370 | 7586.00013  3.18E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
1371 | 7586.15546  2.35E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
1372 | 7586.20647  7.91E-24   401.64790 | 7586.20675   34   2 | 7585.85384  9.67E-24   401.64830 | 636   6   1  011210   0  7987.5021   506 | 313   6   2  000000   0   401.6483   402 | 6.6  +0.35223    0.818  4.2E-6  1.3E-3  1.3E-3
1373 | 7586.21538  6.62E-23   183.82911 | 7586.21554   12   2 | 7586.12900  4.84E-23   183.82940 | 636   3   1  111010   0  7769.9584   282 | 313   4   2  000000   0   183.8294   184 | 3.6  +0.08609    1.368  3.7E-6  1.5E-4  1.5E-4
1374 | 7586.32335  2.34E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
1375 | 7586.54875  3.87E-24             |                     |                                  |                                          |                                          |                                 3.7E-4
1376 | 7586.59250  4.72E-24             |                     |                                  |                                          |                                          |                                 3.0E-4
1377 | 7586.67420  6.61E-24   758.38543 | 7586.67377   26   2 | 7586.62234  4.52E-24   758.38290 | 536   9   7  111010   0  8345.0053   354 | 212   9   6  000000   0   758.3829   758 | 9.5  +0.05439    1.463  1.9E-4  2.1E-4  2.8E-4
1378 | 7586.89226  9.39E-25   165.33110 | 7586.88913    7   2 | 7586.43047  1.15E-24   165.33070 | 266   5   5  110202   1  7751.7612   211 | 515   4   3  000000   0   165.3307   165 | 5.2  +0.46219    0.817  5.2E-6  1.5E-3  1.5E-3
1379 | 7587.09314  1.01E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
1380 | 7587.32902  2.90E-23   165.33110 | 7587.32961    3   2 | 7587.20181  1.94E-23   165.33070 | 233   4   2  011210   0  7752.5325   159 | 515   4   3  000000   0   165.3307   165 | 4.2  +0.12761    1.493  5.2E-6  5.9E-5  5.9E-5
1381 | 7587.35784  4.62E-24             |                     |                                  |                                          |                                          |                                 3.9E-4
1382 | 7587.38938  3.76E-24             |                     |                                  |                                          |                                          |                                 4.1E-4
1383 | 7587.55992  5.85E-24             |                     |                                  |                                          |                                          |                                 2.4E-4
1384 | 7587.70487  3.58E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
1385 | 7588.02028  1.21E-24   205.26915 | 7588.02545   29   3 | 7587.94676  5.24E-25   205.26720 | 366   4   1  011210   1  7793.2140   354 | 616   5   5  000000   0   205.2672   205 | 4.3  +0.07547    2.312  2.8E-4  1.1E-3  1.2E-3
1386 | 7588.08633  6.38E-24             |                     |                                  |                                          |                                          |                                 2.2E-4
1387 | 7588.21442  1.01E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
1388 | 7588.29172  1.05E-22   265.22666 | 7588.29167    2   3 | 7588.27100  7.79E-23   265.22630 | 563   4   2  111010   1  7853.4973   194 | 254   5   3  000000   1   265.2263   265 | 4.5  +0.02108    1.343  6.9E-6  1.6E-5  1.8E-5
1389 | 7588.39817  2.00E-24             |                     |                                  |                                          |                                          |                                 7.0E-4
1390 | 7588.53561  9.21E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
1391 | 7588.59718  2.29E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
1392 | 7588.66217  2.34E-23   264.51666 | 7588.66190    3   2 | 7588.44546  1.38E-23   264.51660 | 233   5   2  011210   0  7852.9620   220 | 515   5   3  000000   0   264.5166   265 | 5.2  +0.21677    1.699  6.9E-6  6.4E-5  6.5E-5
1393 | 7588.70347  1.39E-22   205.26915 | 7588.70346   40   1 | 7588.65041  1.07E-22   205.26720 | 333   4   4  111010   0  7793.9176   355 | 616   5   5  000000   0   205.2672   205 | 4.3  +0.05501    1.295  2.8E-4  1.3E-5  2.8E-4
1394 | 7588.90239  5.21E-24             |                     |                                  |                                          |                                          |                                 2.7E-4
1395 | 7589.21016  3.26E-24   656.43587 | 7589.20851  130   2 | 7589.05079  2.30E-24   656.43240 | 364   9   9  111010   1  8245.4832   689 | 653   9   8  000000   1   656.4324   656 | 9.3  +0.16284    1.416  3.1E-4  5.5E-4  6.3E-4
1396 | 7589.23587  3.89E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
1397 | 7589.37938  1.48E-24             |                     |                                  |                                          |                                          |                                 9.5E-4
1398 | 7589.54729  1.42E-24   383.97753 | 7589.55065   37   2 | 7588.71948  2.33E-24   383.97720 | 536   7   5  110202   0  7972.6966   265 | 254   6   3  000000   1   383.9772   384 | 7.5  +0.82814    0.610  9.8E-6  2.9E-3  2.9E-3
1399 | 7589.56120  4.16E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
1400 | 7589.75737  1.62E-24             |                     |                                  |                                          |                                          |                                 8.8E-4
1401 | 7589.84837  8.40E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
1402 | 7590.29201  5.96E-24             |                     |                                  |                                          |                                          |                                 4.2E-4
1403 | 7590.43549  5.37E-24   463.01315 | 7590.43544   50   2 | 7590.16852  2.45E-24   463.01180 | 331   7   6  011212   0  8053.1804   568 | 616   7   5  000000   0   463.0118   463 | 7.3  +0.26832    2.193  2.8E-4  4.6E-4  5.4E-4
1404 | 7590.57119  2.78E-24             |                     |                                  |                                          |                                          |                                 8.9E-4
1405 | 7590.63024  3.09E-23   383.31849 | 7590.63045    6   2 | 7590.46904  2.06E-23   383.31850 | 233   6   2  011210   0  7973.7875   242 | 515   6   3  000000   0   383.3185   383 | 6.2  +0.16119    1.500  9.8E-6  8.4E-5  8.4E-5
1406 | 7590.92856  2.10E-24             |                     |                                  |                                          |                                          |                                 1.7E-3
1407 | 7590.95084  1.96E-23   521.62199 | 7590.95090    9   3 | 7590.79644  1.40E-23   521.62170 | 233   7   2  011210   0  8112.4182   304 | 515   7   3  000000   0   521.6217   522 | 7.2  +0.15469    1.399  1.0E-5  1.9E-4  1.9E-4
1408 | 7591.16687  3.41E-24             |                     |                                  |                                          |                                          |                                 8.9E-4
1409 | 7591.19330  4.39E-24             |                     |                                  |                                          |                                          |                                 6.9E-4
